"A block identifier with the same properties already exists in the selected store.","Ένα αναγνωριστικό τμήματος με τα ίδια χαρακτηριστικά υπάρχει ήδη στο επιλεγμένο κατάστημα."
"A directory with the same name already exists. Please try another folder name.","Ένας φάκελος με το ίδιο όνομα υπάρχει ήδη. Παρακαλούμε προσπαθήστε κάποιο άλλο όνομα."
"A page URL key for specified store already exists.","Ένα κλειδί URL σελίδας για το καθορισμένο κατάστημα υπάρχει ήδη."
"Action","Ενέργεια"
"Add New Block","Προσθήκη Νέου Τμήματος"
"Add New Page","Προσθήκη Νέας Σελίδας"
"All Countries","Όλες οι Χώρες"
"An error occurred while saving the page.","Ένα σφάλμα προέκυψε ενώ αποθηκεύατε τη σελίδα."
"Anchor Custom Text","Αγκίστρωση Προσαρμοσμένου Κειμένου"
"Anchor Custom Title","Αγκίστρωση Προσαρμοσμένου Τίτλου"
"Are you sure you want to delete current folder?","Είστε βέβαιοι πως θέλετε να διαγράψετε το συγκεκριμένο φάκελο;"
"Are you sure you want to delete the selected file?","Είστε βέβαιοι πως θέλετε να διαγράψετε τον επιλεγμένο φάκελο;"
"Block","Τμήμα"
"Block Information","Πληροφορίες Τμήματος"
"Block Title","Τίτλος Τμήματος"
"CMS","CMS"
"CMS Content Wrapper","CMS Περιεχόμενα Λογαριασμού"
"CMS Home Page","CMS Αρχική Σελίδα"
"CMS No Cookies Page","CMS Σελίδα Χωρίς Cookies"
"CMS No Route Page","CMS Σελίδα Έλλειψης Διαδρομής"
"CMS No-Route Page","CMS Σελίδα Έλλειψης-Διαδρομής"
"CMS Page","Σελίδα CMS "
"CMS Page Link","Σύνδεσμος Σελίδας CMS "
"CMS Page Link Block Template","Πρότυπο(Template) Τμήματος Συνδέσμου Σελίδας CMS"
"CMS Page Link Inline Template","Πρότυπο(Template) Σειράς Συνδέσμου Σελίδας CMS"
"CMS Pages (All)","Σελίδες CMS (Όλες)"
"CMS Static Block","Στατικά Τμήματα CMS"
"CMS Static Block Default Template","Πρότυπο(Template) Στατικού Τμήματος "
"Cannot create new directory.","Δεν μπορεί να δημιουργηθεί νέος φάκελος."
"Cannot delete directory %s.","Δεν μπορεί να διαγραφεί ο φάκελος %s."
"Cannot delete root directory %s.","Δεν μπορεί να διαγραφεί ο βασικός-ριζικός φάκελος %s."
"Cannot upload file.","Δεν μπορεί να φορτωθεί αρχείο."
"Collapse All","Σύμπτυξη Όλων"
"Content","Περιεχόμενο"
"Content Heading","Επικεφαλίδα Περιεχομένου"
"Content Management","Διαχείριση Περιεχομένου"
"Contents of a Static Block","Περιεχόμενα Στατικού Τμήματος"
"Create Folder...","Δημιουργία Φακέλου..."
"Custom Design","Προσαρμοσμένο Design"
"Custom Design From","Φόρμα Προσαρμοσμένου Design"
"Custom Design To","Προσαρμοσμένο Design Στο"
"Custom Layout","Προσαρμοσμένη Διάταξη"
"Custom Layout Update XML","XML Ανανέωσης Προσαρμοσμένης Διάταξης"
"Custom Theme","Προσαρμοσμένο Theme"
"Customer Tax Class Information","Πληροφορίες Φορολογικής Κλάσης Πελάτη"
"Date Created","Ημερομηνία Δημιουργίας"
"Delete Block","Διαγραφή Τμήματος"
"Delete File","Διαγραφή Αρχείου"
"Delete Folder","Διαγραφή Φακέλου"
"Delete Page","Διαγραφή Σελίδας"
"Description","Περιγραφή"
"Design","Design"
"Disabled","Απενεργοποιημένο"
"Disabled Completely"," Απενεργοποιημένο Πλήρως "
"Disabled by Default","Απενεργοποιημένο από Προεπιλογή"
"Edit Block","Επεξεργασία Τμήματος"
"Edit Block '%s'","Επεξεργασία Τμήματος '%s'"
"Edit Page","Επεξεργασία Σελίδας"
"Edit Page '%s'","Επεξεργασία Σελίδας '%s'"
"Enable WYSIWYG Editor","Ενεργοποίηση Κειμενογράφου WYSIWYG"
"Enabled","Ενεργοποιημένο"
"Enabled by Default","Ενεργοποιημένο από Προεπιλογή"
"Expand All","Ανάπτυξη Όλων"
"General Information","Γενικές Πληροφορίες"
"Go to Home Page","Πίσω Στην Αρχική Σελίδα"
"Home","Αρχική Σελίδα"
"ID","ID"
"Identifier","Αναγνωριστικό"
"If empty, the Page Title will be used","Αν είναι κενό, ο Τίτλος Σελίδας θα χρησιμοποιηθεί"
"Images (%s)","Εικόνες (%s)"
"Insert File","Εισαγωγή Αρχείου"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Μη έγκυρο όνομα φακέλου. Παρακαλούμε, χρησιμοποιήστε αλφαριθμητικούς χαρακτήρες, κάτω και πάνω παύλες."
"Keywords","Λέξεις Κλειδιά"
"Last Modified","Τελευταία Τροποποίηση"
"Layout","Διάταξη"
"Layout Update XML","XML Ανανέωσης Διάταξης"
"Link to a CMS Page","Σύνδεσμος προς Σελίδα CMS"
"Manage Pages","Διαχείρηση Σελίδων"
"Media Gallery","Συλλογή Μέσων"
"Media Storage","Αποθήκη Μέσων"
"Meta Data","Μεταδεδομένα"
"Meta Description","Meta Περιγραφή"
"Meta Keywords","Meta Λέξεις Κλειδιά"
"New Block","Νέο Τμήμα"
"New Folder Name:","Νέο Όνομα Φακέλου:"
"New Page","Νέα Σελίδα"
"No files found","Δεν βρέθηκαν αρχεία"
"Page Information","Πληροφορίες Σελίδας"
"Page Layout","Διάταξη Σελίδας"
"Page Status","Κατάσταση Σελίδας"
"Page Title","Τίτλος Σελίδας"
"Pages","Σελίδες"
"Product Tax Class Information","Πληροφορίες Φορολογικής Κλάσης Προϊόντος"
"Redirect to CMS-page if Cookies are Disabled","Ανακατεύθυνση στη σελίδα-CMS αν τα Cookies είναι Απενεργοποιημένα"
"Relative to Website Base URL","Σχετικό URL με τη Βάση Ιστότοπου"
"Save Block","Αποθήκευση Τμήματος"
"Save Page","Αποθήκευση Σελίδας"
"Save Process","Αποθήκευση Επεξεργασίας"
"Select Block...","Επιλογή Τμήματος..."
"Select Page...","Επιλογή Σελίδας..."
"Show Breadcrumbs for CMS Pages","Εμφάνιση Δυναμικής Διαδρομής για Σελίδες CMS"
"Show Notice if JavaScript is Disabled","Εμφάνιση Ειδοποίησης αν είναι απενεργοποιημένη η JavaScript"
"Static Blocks","Στατικά Τμήματα"
"Status","Κατάσταση"
"Storage Root","Εμφάνιση Ριζικής Διαδρομής"
"Store View","Όψη Καταστήματος"
"Template","Πρότυπο(Template)"
"The block has been deleted.","Το τμήμα έχει διαγραφεί."
"The block has been saved.","Το τμήμα έχει αποθηκευτεί."
"The directory %s is not writable by server.","Ο φάκελος %s δεν είναι εγγράψιμος από τον εξυπηρετητή-server. "
"The page URL key cannot consist only of numbers.","Το κλειδί URL της σελίδας δεν μπορεί να αποτελείται μόνο από αριθμούς."
"The page URL key contains capital letters or disallowed symbols.","Το κλειδί URL της σελίδας περιέχει κεφαλαία γράμματα ή μη επιτρεπόμενα σύμβολα."
"The page has been deleted.","Η σελίδα έχει διαγραφεί."
"The page has been saved.","Η σελίδα έχει αποθηκευτεί."
"The static block content cannot contain  directive with its self.","Το στατικό τμήμα δεν μπορεί να περιέχει οδηγίες για το ίδιο."
"This block no longer exists.","Αυτό το τμήμα δεν υπάρχει πλέον."
"This page no longer exists.","Αυτή η σελίδα δεν υπάρχει πλέον."
"Title","Τίτλος"
"URL Key","Κλειδί URL"
"Unable to find a block to delete.","Αδύνατον να βρεθεί τμήμα για να διαγραφεί."
"Unable to find a page to delete.","Αδύνατον να βρεθεί σελίδα για να διαγραφεί."
"WYSIWYG Options","Επιλογές κειμενογράφου WYSIWYG"
"px.","px."