"%s Index process is working now. Please try run this process later.","Η επεξεργασία του Ευρετηρίου %s είναι σε εξέλιξη. Παρακαλούμε προσπαθήστε να τρέξετε τη διαδικασία αργότερα."
"%s index was rebuilt.","Το ευρετήριο %s αναδημιουργήθηκε."
"'%s' Index Process Information","Πληροφορίες Επεξεργασίας Ευρετηρίου '%s'"
"Action","Ενέργεια"
"Cannot initialize the indexer process.","Αδύνατη η προετοιμασία της επεξεργασίας ευρετηρίου."
"Change Index Mode","Αλλαγή Λειτουργίας Ευρετηρίου"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Πατήστε εδώ για να πάτε στη <a href=""%s"">Διαχείριση Μνήμης Cache</a> και ανανεώστε τους τύπους μνήμης cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Πατήστε εδώ για να πάτε στη <a href=""%s"">Διαχείριση Ευρετηρίων</a> και ξαναχτίστε τα απιτούμενα ευρετήρια."
"Delete","Διαγραφή"
"Description","Περιγραφή"
"Disable","Απενεργοποίηση"
"Enable","Ενεργοποίηση"
"General","Γενικά"
"Index","Ευρετήριο"
"Index Description","Περιγραφή Ευρετηρίου"
"Index Management","Διαχείριση Ευρετηρίου"
"Index Mode","Λειτουργία Ευρετηρίου"
"Index Name","Όνομα Ευρετηρίου"
"Index mode","Λειτουργία ευρετηρίου"
"Indexer code is not defined.","Ο κωδικός δημιουργού ευρετηρίου δεν είναι ορισμένος."
"Indexer model is not defined.","Το μοντέλο δημιουργού ευρετηρίου δεν είναι ορισμένο."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Το μοντέλο δημιουργού ευρετηρίου θα πρέπει να επεκταθεί Mage_Index_Model_Indexer_Abstract."
"Manual Update","Χειροκίνητη Ανανέωση"
"Mode","Λειτουργία "
"Never","Ποτέ"
"No","Όχι"
"One or more of the Indexes are not up to date:","Ένα ή περισσότερα από τα ευρετήρια δεν είναι ενημερωμένα:"
"Please select Index(es)","Παρακαλούμε επιλέξτε Ευρετήριο(α)"
"Please select Indexes","Παρακαλούμε επιλέξτε Ευρετήρια"
"Process Information","Πληροφορίες Επεξεργασίας"
"Processing","Γίνεται επεξεργασία"
"Ready","Έτοιμο"
"Refresh","Ανανέωση"
"Reindex Data","Επανευρετηρίαση Δεδομένων"
"Reindex Required","Απαιτείται Επανευρετηρίαση"
"Revoke","Ανάκληση"
"Status","Κατάσταση"
"System","Σύστημα"
"The index has been saved.","Το ευρετήριο έχει αποθηκευτεί."
"There was a problem with reindexing process.","Υπήρξε πρόβλημα κατά τη διαδικασία επανευρετηρίασης."
"There was a problem with saving process.","Υπήρξε πρόβλημα κατά τη διαδικασία αποθήκευσης."
"Total of %d index(es) have changed index mode.","Σύνολικά %d ευρετήρια(ο) έχουν αλλάξει λειτουργία."
"Total of %d index(es) have reindexed data.","Σύνολικά %d ευρετηρία(ο) έχουν αναδημιουργηθεί."
"Update Required","Απαιτείται Ενημέρωση"
"Update on Save","Ενημέρωση κατά την Αποθήκευση"
"Updated At","Ενημερώθηκε Την"
"Yes","Ναι"