"3D Secure","3D Ασφαλής "
"3D Secure Card Validation","3D Ασφαλής Έλεγχος Κάρτας"
"API Login ID","API Login ID"
"Accepted Currency","Αποδεκτό Νόμισμα"
"Allow Partial Authorization","Επιτρεπτή η Τμηματική Έγκριση"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Είστε σίγουροι ότι θέλετε να ακυρώσετε την πληρωμή σας; Πατήστε ΟΚ να ακυρώσετε την πληρωμή σας και αφήστε το ποσό σε αναμονή. Πατήστε Ακύρωση για να εισάγετε άλλη πιστωτική κάρτα και συνεχίστε με τη πληρωμή σας."
"Authorize Only","Έγκριση Μόνο"
"Authorize and Capture","Έγκριση και Σύλληψη"
"Authorize.Net Transaction ID %s","Authorize.Net ID Συναλλαγής %s"
"Authorize.net","Authorize.net"
"Cancel","Ακύρωση"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit Card Verification","Επαλήθευση Πιστωτικής Κάρτας"
"Credit Card: xxxx-%s","Πιστωτική Κάρτα: xxxx-%s"
"Debug","Αποσφαλμάτωση"
"Email Customer","Email Πελάτη"
"Enabled","Ενεργοποιημένο"
"Error in payment gateway.","Σφάλμα στη πύλη πληρωμής."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Οι ενέργειες της πύλης κλειδώθηκαν επειδή η πύλη δεν μπορεί να ολοκληρώσει μία ή περισσότερες συναλλαγές. Παρακαλούμε συνδεθείτε στο λογαριασμό σας στο Authorize.Net για να λύσετε το ζήτημα (τα ζητήματα) χειροκίνητα."
"Gateway error: %s","Σφάλμα Πύλης: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Αν κενό, η προκαθορισμένη τιμή θα χρησιμοποιηθεί. Το προκαθορισμένο URL μπορεί να παρέχεται από συμφωνία με τη CardinalCommerce."
"Invalid amount for authorization.","Μη έγκυρο ποσό για έγκριση."
"Invalid amount for capture.","Μη έγκυρο ποσό για σύλληψη."
"Invalid amount for partial authorization.","Μη έγκυρο ποσό για τμηματική έγκριση."
"Invalid amount for refund.","Μη έγκυρο ποσό για επιστροφή."
"Invalid split tenderId ID.","Μη έγκυρος διαχωρισμός ID προσφοράς."
"Invalid transaction ID.","Μη έγκυρος κωδικός ID Συναλλαγής."
"Maximum Order Total","Μέγιστο Γενικό Σύνολο Παραγγελίας"
"Merchant's Email","Email Εμπόρου"
"Minimum Order Total","Ελάχιστο Γενικό Σύνολο Παραγγελίας"
"New Order Status","Κατάσταση Νέας Παραγγελίας"
"Parent Authorize.Net transaction (ID %s) expired","Η μητρική-αρχική συναλλαγή (ID %s) στο Authorize.Net έληξε"
"Payment Action","Ενέργεια Πληρωμής"
"Payment authorization error.","Σφάλμα έγκρισης πληρωμής"
"Payment canceling error.","Σφάλμα ακύρωσης πληρωμής."
"Payment capturing error.","Σφάλμα σύλληψης πληρωμής."
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Payment partial authorization error.","Σφάλμα τμηματικής έγκρισης πληρωμής."
"Payment refunding error.","Σφάλμα επιστροφής πληρωμής."
"Payment updating error.","Σφάλμα ενημέρωσης πληρωμής."
"Payment voiding error.","Σφάλμα ακύρωσης πληρωμής."
"Processed Amount","Επεξεργασμένο Ποσό"
"Remaining Balance","Υπόλοιπο"
"Severe 3D Secure Card Validation","Αυστηρή 3D Ασφάλεια Ελέγχου Κάρτας"
"Severe Validation Removes Chargeback Liability on Merchant","Η Αυστηρή Έγκριση Αφαιρεί από τον Έμπορο την Επιβάρυνση Τελών λόγω Ακύρωσης Χρέωσης"
"Shopping cart contents and/or address has been changed.","Τα περιεχόμενα του καλαθιού αγορών σας και/ή διεύθυνση έχουν αλλάξει."
"Sort Order","Κανόνας Ταξινόμησης"
"Test Mode","Σε δοκιμή"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Το ποσό της πιστωτικής σας κάρτας δεν επαρκεί για να ολοκληρώσετε την αγορά σας. Το διαθέσιμο ποσό έχει τεθεί σε αναμονή. Για να ολοκληρώσετε την αγορά σας κάντε κλικ στο κουμπί OK και να καθορίσετε τον αριθμό πρόσθετων πιστωτικών καρτών. Για να ακυρώσετε την αγορά και να απελευθερώσετε το ποσό σε αναμονή, κάντε κλικ στο κουμπί Άκυρο."
"There was an error canceling transactions. Please contact us or try again later.","Υπήρξε ένα σφάλμα κατά την ακύρωση των συναλλαγών. Παρακαλώ επικοινωνήστε μαζί μας ή δοκιμάστε ξανά αργότερα."
"Title","Τίτλος"
"Transaction Key","Κλειδί Συναλλαγής"
"You have reached the maximum number of credit card allowed to be used for the payment.","Έχετε φτάσει το μέγιστο αριθμό πιστωτικών καρτών που επιτρέπεται να χρησιμοποιούνται για την πληρωμή."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Έχετε φτάσει στο μέγιστο αριθμό των πιστωτικών καρτών που μπορούν να χρησιμοποιηθούν για μία πληρωμή. Τα διαθέσιμα ποσά για όλα τις χρησιμοποιημένες κάρτες ήταν ανεπαρκείς για να ολοκληρώσετε την πληρωμή. Η πληρωμή έχει ακυρωθεί και τα ποσά σε αναμονή έχουν απελευθερωθεί."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Η πιστωτική σας κάρτα έχει απορριφθεί. Κάντε κλικ στο OK για να καθορίσετε μια άλλη πιστωτική κάρτα για να ολοκληρώσετε την αγορά σας. Κάντε κλικ στο κουμπί Άκυρο για να απελευθερώσει το ποσό σε αναμονή και επιλέξτε μια άλλη μέθοδο πληρωμής."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Η παραγγελία σας δεν έχει πραγματοποιηθεί, επειδή το περιεχόμενό του καλάθι αγορών και / ή η διεύθυνση έχει αλλάξει. Εγκεκριμένα ποσά από την προηγούμενη πληρωμή σας που έμειναν σε εκκρεμότητα είναι τώρα απελευθερωμένα. Παρακαλούμε να περάστε από τη διαδικασία πληρωμής για τα πρόσφατα περιεχόμενα του καλαθιού σας."
"Your payment has been cancelled. All authorized amounts have been released.","Η πληρωμή σας έχει ακυρωθεί. Όλα τα εγκεκριμένα ποσά έχουν απελευθερωθεί."
"amount %s","ποσό %s"
"authorize","έγκριση"
"authorize and capture","έγκριση και σύλληψη"
"capture","σύλληψη"
"failed","απέτυχε"
"refund","επιστροφή χρημάτων"
"successful","επιτυχής"
"void","ακύρωση"