"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International",""
"CartaSi (powered by Moneybookers) - Italy",""
"Carte Bleue (powered by Moneybookers) - France",""
"Customer ID",""
"Dankort (powered by Moneybookers) - Denmark",""
"EPS Online-Überweisung (powered by Moneybookers) - Austria",""
"Enabled","Ενεργοποιημένο"
"Find out more about Online Bank Transfer",""
"Giropay (powered by Moneybookers) - Germany",""
"Laser (powered by Moneybookers) - Ireland",""
"Lastschrift (ELV) (powered by Moneybookers) - Germany",""
"Loading secure payment page (SSL)",""
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain",""
"Moneybookers",""
"Moneybookers Settings",""
"Moneybookers Transaction ID: %s",""
"Moneybookers eWallet",""
"More information about Moneybookers",""
"Nordea Solo (powered by Moneybookers) - Finland",""
"Nordea Solo (powered by Moneybookers) - Sweden",""
"Online Bank Transfer (powered by Moneybookers)",""
"Order ID","Αριθμός ID Παραγγελίας"
"POLi (powered by Moneybookers) - Australia",""
"Payment failed.",""
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Payment has not been processed yet.",""
"Payment was canceled.",""
"Pending bank transfer created.",""
"Please pay your order now",""
"Postepay (powered by Moneybookers) - Italy",""
"Powered by Moneybookers",""
"Przelewy24 (powered by Moneybookers) - Poland",""
"Sofortüberweisung (powered by Moneybookers) - Germany",""
"Sort Order","Κανόνας Ταξινόμησης"
"The amount has been authorized and captured by Moneybookers.",""
"The customer was redirected to Moneybookers.",""
"The order has been canceled.",""
"Title","Τίτλος"
"You will be redirected to our secure payment page when you place an order.",""
"eNETS (powered by Moneybookers) - Singapore",""
"iDeal (powered by Moneybookers) - Netherlands",""