"%s","%s"
"%s role is a special one and can\'t be changed.",""
"%s role is a special one and can\'t be deleted.",""
"%s role is protected.",""
"ACL Attribute Rules",""
"ACL Attributes Information",""
"Add","Προσθήκη"
"Add Admin Role",""
"Add New Role","Εισαγωγή Νέου Ρόλου"
"Address Type",""
"Admin","Διαχειριστής"
"Allow","Επιτρεπτή"
"An error occurred while deleting the role.",""
"An error occurred while saving attribute rules.",""
"An error occurred while saving role.",""
"Api Rules Information",""
"Assigned","Εκχωρημένα"
"Associate to Website",""
"Attribute Rules Information",""
"Attribute Set","Σύνολο Χαρακτηριστικών"
"Attributes","Χαρακτηριστικά"
"Automatically Return Credit Memo Item to Stock","Αυτόματη Επιστροφή Είδους του Πιστωτικού Υπομνήματος στο Απόθεμα"
"Back","Πίσω"
"Backorders","Καθυστερημένες Παραγγελίες"
"Base Currency","Βασικό Νόμισμα"
"Base Customer Balance",""
"Base Discount",""
"Base Discount Amount",""
"Base Item Subtotal",""
"Base Item Subtotal Including Tax",""
"Base Original Price",""
"Base Price",""
"Base Price Including Tax",""
"Base Shipping",""
"Base Shipping Discount",""
"Base Shipping Tax",""
"Base Subtotal",""
"Base Subtotal Including Tax",""
"Base Tax Amount",""
"Base Total Due",""
"Base Total Paid",""
"Base Total Refunded",""
"Buy Now URL",""
"Can Be Divided into Multiple Boxes for Shipping",""
"Canceled Qty",""
"Catalog","Κατάλογος"
"Catalog Product",""
"CatalogInventory",""
"Category ID",""
"City","Πόλη"
"Company","Εταιρεία"
"Country","Χώρα"
"Coupon Code","Κωδικός Κουπονιού"
"Create","Δημιουργία"
"Create Permanent Redirect for old URL","Δημιουργία Μόνιμης Επανακατεύθυνσης για παλαιότερο URL"
"Created From",""
"Customer","Πελάτης"
"Customer Address",""
"Customer Address ID",""
"Customer Balance",""
"Customer First Name","Όνομα Πελάτη"
"Customer ID",""
"Customer Last Name","Επώνυμο Πελάτη"
"Customer Middle Name",""
"Customer Prefix",""
"Customer Suffix",""
"Default Image",""
"Delete","Διαγραφή"
"Deny",""
"Disable automatic group change based on VAT ID",""
"Discount","Έκπτωση"
"Discount Amount","Ποσό Έκπτωσης"
"Discount Description",""
"Edit","Επεξεργασία"
"Edit %s ACL attribute rules",""
"Edit Role","Επεξεργασία Ρόλου"
"Edit attribute rules for %s Role",""
"Email","Email"
"Enable Qty Increments","Ενεργοποίηση Προσαύξηση Ποσ."
"Exclude","Εξαίρεση"
"File Content",""
"File MIME Type",""
"File Name",""
"Final Price With Tax",""
"Final Price Without Tax",""
"First Name","Όνομα"
"Gift Message","Μήνυμα Δώρου"
"Grand Total","Τελικό Σύνολο"
"Grand Total to Be Charged",""
"Group","Ομάδα"
"Guest","Επισκέπτης"
"Has Custom Options",""
"ID","ID"
"Inventory Data",""
"Invoiced Qty",""
"Is Confirmed",""
"Is Default Billing Address",""
"Is Default Shipping Address",""
"Item ID",""
"Item Subtotal",""
"Item Subtotal Including Tax",""
"Label","Ετικέτα"
"Last Logged In",""
"Last Name","Επίθετο"
"Low Stock Date",""
"Manage Stock","Διαχείριση Αποθέματος"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη Επιτρεπόμενη Ποσ. στο Καλάθι Αγοράς"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη Επιτρεπόμενη Ποσ. στο Καλάθι αγοράς"
"New Role",""
"Notify for Quantity Below","Ειδοποίηση για Ποσότητα Κάτω Από"
"OAuth","OAuth"
"Order","Παραγγελία"
"Order Addresses",""
"Order Comments","Σχόλια Παραγγελίας"
"Order Currency",""
"Order Date","Ημ/νια Παραγγελίας"
"Order ID","Αριθμός ID Παραγγελίας"
"Order ID (internal)",""
"Order Item ID",""
"Order Items",""
"Order Status","Κατάσταση Παραγγελίας"
"Ordered Qty",""
"Orders","Παραγγελίες"
"Original Price","Αρχική Τιμή"
"Parent Order Item ID",""
"Payment Method","Μέθοδος Πληρωμής"
"Phone Number",""
"Placed from IP","Έγινε από IP"
"Please enter a valid number in ""max_sale_qty"" field",""
"Please enter a valid number in ""min_qty"" field",""
"Please enter a valid number in ""min_sale_qty"" field",""
"Please enter a valid number in ""notify_stock_qty"" field",""
"Please use numbers only in ""category_id"" field.",""
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.",""
"Position","Θέση"
"Price","Τιμή"
"Price Including Tax",""
"Product","Προϊόν"
"Product Category",""
"Product ID","ID Προϊόντος"
"Product Image",""
"Product Type","Τύπος Προϊόντος"
"Product URL",""
"Product Website",""
"Product and Custom Options Name",""
"Qty","Ποσ."
"Qty Increments","Προσαύξηση Ποσ."
"Qty Uses Decimals","Στη Ποσ. χρησιμοποιούνται δεκαδικά"
"Qty for Item's Status to Become Out of Stock","Κατάσταση Ποσ. Ειδών για να γίνουν Μη Διαθέσιμα"
"REST - Attributes",""
"REST - Roles",""
"REST ACL Attributes",""
"REST Attributes",""
"REST Role",""
"REST Roles",""
"REST Roles Information",""
"Read",""
"Refunded Qty",""
"Regular Price With Tax",""
"Regular Price Without Tax",""
"Rest Roles",""
"Retrieve",""
"Role ""%s"" no longer exists",""
"Role ""%s"" not found.",""
"Role API Resources",""
"Role Info","Πληρ. Ρόλου"
"Role Information","Πληροφορίες Ρόλου"
"Role Name","Όνομα Ρόλου"
"Role Users","Χρήστες Ρόλου"
"Role has been deleted.",""
"Roles","Ρόλοι"
"SKU","SKU"
"Salability Status",""
"Sales","Πωλήσεις"
"Save","Αποθήκευση"
"Shipped Qty",""
"Shipping Amount","Ποσό Αποστολής"
"Shipping Discount",""
"Shipping Including Tax",""
"Shipping Method","Μέθοδος Αποστολής"
"Shipping Tax",""
"State","Νομός"
"Stock Availability","Διαθεσιμότητα Αποθέματος"
"Stock ID",""
"Stock Item",""
"Stock Status","Κατάσταση Αποθέματος"
"Store Currency to Order Currency Rate",""
"Store Name","Όνομα Καταστήματος"
"Street",""
"Subtotal","Μερικό Σύνολο"
"Subtotal Including Tax",""
"System","Σύστημα"
"Tax Amount","Ποσό Φόρου"
"Tax Name",""
"Tax Percent","Ποσοστό Φόρου"
"Tax Rate","Φορολογικός Συντελεστής"
"The ""enable_qty_increments"" field must be set to 0 or 1.",""
"The ""is_decimal_divided"" field must be set to 0 or 1.",""
"The ""is_in_stock"" field must be set to 0 or 1.",""
"The ""is_qty_decimal"" field must be set to 0 or 1.",""
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.",""
"The ""manage_stock"" field must be set to 0 or 1.",""
"The ""stock_status_changed_auto"" field must be set to 0 or 1.",""
"The ""use_config_backorders"" field must be set to 0 or 1.",""
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.",""
"The ""use_config_manage_stock"" field must be set to 0 or 1.",""
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.",""
"The ""use_config_min_qty"" field must be set to 0 or 1.",""
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.",""
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.",""
"The ""use_config_qty_increments"" field must be set to 0 or 1.",""
"The attribute rules were saved.",""
"The role has been saved.",""
"The role is a special one and not for assigning it to admin users.",""
"Total Due","Σύνολο Ωφειλών"
"Total Paid","Σύνολο Καταβαλλόμενων Πληρωμών"
"Total Refunded","Σύνολο που Επιστράφηκε"
"Total Reviews Count",""
"Type","Τύπος"
"URL","URL"
"Update","Ενημέρωση"
"Use Config Settings for Allow Gift Message",""
"Use Config Settings for Allow Gift Wrapping",""
"Use Config Settings for Backorders",""
"Use Config Settings for Enable Qty Increments",""
"Use Config Settings for Manage Stock",""
"Use Config Settings for Maximum Qty Allowed in Shopping Cart",""
"Use Config Settings for Minimum Qty Allowed in Shopping Cart",""
"Use Config Settings for Notify for Quantity Below",""
"Use Config Settings for Qty Increments",""
"Use Config Settings for Qty for Item's Status to Become Out of Stock",""
"User Type","Τύπος Χρήστη"
"User type ""%s"" no longer exists",""
"User type ""%s"" not found.",""
"Web Services",""
"Web services",""
"Write",""
"ZIP/Postal Code","Τ. Κ."