"Action","Ενέργεια"
"An error occurred while creating the backup.","Ένα σφάλμα προέκυψε κατά την δημιουργία αντίγραφου ασφαλείας. "
"An error occurred while writing to the backup file ""%s"".","Ένα σφάλμα προέκυψε κατά την εγγραφή στο αρχείο αντιγράφου ασφαλείας ""%s""."
"Are you sure you want to delete the selected backup(s)?","Είστε σίγουροι ότι θέλετε να διαγράψετε το/τα αντίγραφο(α) ασφαλείας;"
"Backup Type","Τύπος Αντίγραφου Ασφαλείας"
"Backup file ""%s"" cannot be read from or written to.","Το αρχείο αντίγραφου ασφαλείας ""%s"" δεν μπορεί να διαβάσει από ή να εγγράψει."
"Backup file ""%s"" does not exist.","Το αρχείο αντίγραφου ασφαλείας ""%s"" δεν υπάρχει."
"Backup file does not exist.","Το αρχείο αντίγραφου ασφαλείας δεν υπάρχει."
"Backup file handler was unspecified.","Ο διαχειριστής του αρχείου αντίγραφου ασφαλείας είναι ακαθόριστος."
"Backup file not found","Το αρχείο αντίγραφου ασφαλείας δεν βρέθηκε"
"Backup file path was not specified.","Η διαδρομή του αρχείου αντίγραφου ασφαλείας δεν καθορίστηκε."
"Backups","Αντίγραφα Ασφαλείας"
"Cannot read backup file.","Δεν μπορεί να διαβαστεί το αρχείο αντίγραφου ασφαλείας."
"Create Backup","Δημιουργία Αντιγράφου Ασφαλείας"
"Database","Βάση Δεδομένων"
"Database Backup","Αντίγραφο Ασφαλείας Βάσης Δεδομένων"
"Database and Media","Βάση Δεδομένων και Μέσα"
"Database and Media Backup","Αντίγραφο Ασφαλείας Βάσης Δεδομένων και Μέσων"
"Database was successfuly backed up.","Τα αντίγραφα ασφαλείας της Βάσης Δεδομένων έγιναν με επιτυχία."
"Download","Λήψη Αρχείου"
"Enable Scheduled Backup","Ενεργοποίηση Προγραμματισμένων Αντιγράφων Ασφαλείας"
"Failed to connect to FTP","Αποτυχία στη σύνδεση με FTP"
"Failed to delete one or several backups.","Αποτυχία να διαγραφούν ένα ή διάφορα αντίγραφα ασφαλείας."
"Failed to rollback","Αποτυχία να επιστρέψετε"
"Failed to validate FTP","Αποτυχία να επιβεβαιωθεί το FTP"
"Frequency","Συχνότητα"
"Invalid Password.","Μη έγκυρος Κωδικός."
"Maintenance Mode","Λειτουργία Συντήρησης"
"Name","Όνομα"
"Not enough free space to create backup.","Δεν υπάρχει ελεύθερος χώρος να δημιουργηθεί αντίγραφο ασφαλείας."
"Not enough permissions to create backup.","Δεν υπάρχουν αρκετά δικαιώματα να δημιουργηθεί αντίγραφο ασφαλείας."
"Not enough permissions to perform rollback","Δεν υπάρχουν αρκετά δικαιώματα να εκτελεστεί επιστροφή."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Παρακαλούμε, είτε απο-επιλέξτε το πλήκτρο επιλογής του ""Θέστε το κατάστημα σε λειτουργία συντήρησης"", ή ανανεώστε τα δικαιώματά σας, για να προχωρήσετε με το αντίγραφο ασφαλείας."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Παρακαλούμε, είτε απο-επιλέξτε το πλήκτρο επιλογής του ""Θέστε το κατάστημα σε λειτουργία συντήρησης"", ή ανανεώστε τα δικαιώματά σας, για να προχωρήσετε με την επιστροφή."""
"Put store on the maintenance mode while backup's creation","Θέστε το κατάστημα σε λειτουργία συντήρησης, κατά την δημιουργία αντίγραφου ασφαλείας"
"Rollback","Επιστροφή"
"Scheduled Backup Settings","Ρυθμίσεις Προγραμματισμένων Αντιγράφων Ασφαλείας"
"Size, Bytes","Μέγεθος, Bytes"
"Start Time","Ώρα Έναρξης"
"System","Σύστημα"
"System (excluding Media)","Σύστημα (εξαιρούμενα τα Μέσα)"
"System Backup","Αντίγραφο Ασφαλείας Συστήματος"
"System couldn't put store on the maintenance mode","Το σύστημα δεν μπορεί να θέσει το κατάστημα σε λειτουργία συντήρησης"
"The database and media backup has been created.","Τα αντίγραφα ασφαλείας της βάσης δεδομένων και των μέσων, έχουν δημιουργηθεί."
"The database backup has been created.","Το αντίγραφο ασφαλείας της βάσης δεδομένων έχει δημιουργηθεί."
"The file was compressed with Zlib, but this extension is not installed on server.","Το αρχείο έχει συμπιεστεί με το Zlib, αλλά αυτή η επέκταση δεν έχει εγκατασταθεί στον εξυπηρετητή."
"The selected backup(s) has been deleted.","Το / Τα επιλεγμένο -α αντίγραφο(α) ασφαλείας έχουν διαγραφεί."
"The system (excluding Media) backup has been created.","Το αντίγραφο ασφαλείας του συστήματος (εξαιρούμενα τα Μέσα), έχει δημιουργηθεί."
"The system backup has been created.","Το αντίγραφο ασφαλείας του συστήματος έχει δημιουργηθεί."
"Time","Χρόνος"
"Type","Τύπος"
"Unable to create backup. Please, try again later.","Αδύνατη η δημιουργία αντίγραφου ασφαλείας. Παρακαλούμε, προσπαθήστε ξανά αργότερα."
"Unable to save the cron expression.","Αδύνατο να αποθηκευτεί η παράσταση cron.  "
"Wrong order of creation for new backup.","Λάθος εντολή για δημιουργία ενός νέου αντίγραφου ασφαλείας."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Δεν έχετε επαρκή δικαιώματα για να ενεργοποιήσετε τη Λειτουργία Συντήρησης κατά τη διάρκεια αυτής της λειτουργίας."