"Collected Files Count","Αριθμός Συγκεντρωμένων Αρχείων"
"Compilation","Μεταγλώττιση"
"Compilation State","Καθεστώς Μεταγλώττισης "
"Compilation error","Λάθος Μεταγλώττισης  "
"Compiled","Μεταγλωττισμένο-α"
"Compiled Scopes Count","Αριθμός Μεταγλωττισμένων Εμβελειών"
"Compiler Status","Καθεστώς Μεταγλώττισης"
"Compiler include path is disabled.","Η συμπεριλαμβανόμενη διαδρομή το μεταγλωττιστή είναι απενεργοποιημένη."
"Compiler include path is enabled.","Η συμπεριλαμβανόμενη διαδρομή το μεταγλωττιστή είναι ενεργοποιημένη."
"Directory ""%s"" must be writeable","Ο κατάλογος ""%s"" πρέπει είναι εγγράψιμος"
"Disable","Απενεργοποίηση"
"Disabled","Απενεργοποιημένο"
"Enable","Ενεργοποίηση"
"Enabled","Ενεργοποιημένο"
"File ""%s"" must be writeable","Το αρχείο ""%s"" πρέπει να είναι εγγράψιμο "
"Not Compiled","Μη Μεταγλωτισμένο-α"
"Run Compilation Process","Τρέξτε τη Διαδικασία Μεταγλώττισης"
"Scopes Compilation Settings","Εμβέλειες Ρυθμίσεων Μεταγλώττισης"
"System","Σύστημα"
"The compilation has completed.","Η μεταγλώττιση έχει ολοκληρωθεί."
"Tools","Εργαλεία"