"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Προγραμματισμένες Ενέργειες) - όλοι οι χρόνοι είναι σε λεπτά"
"Daily","Ημερήσια"
"Failure History Lifetime","Αποτυχία στο Χρόνο Ζωής του Ιστορικού"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Για σωστά δημιουργημένα URLs κατά τη διάρκεια που τρέχει το cron, παρακαλούμε σιγουρευτείτε ότι  είναι αναλυτικώς ρυθμισμένο το, Web > Ασφαλή και Ανασφαλή Βάση των URLs"
"Generate Schedules Every","Δημιουργία Προγραμμάτων Κάθε"
"History Cleanup Every","Αναμόρφωση Ιστορικού Κάθε"
"Invalid callback: %s::%s does not exist","Μη έγκυρη επανάκληση: %s::%s δεν υπάρχει"
"Invalid model/method definition, expecting ""model/class::method"".","Μη έγκυρος ορισμός μοντέλου / μεθόδου, αναμένεται ""model/class::method""."
"Missed if Not Run Within","Χαμένα-ες, αν δεν Λειτουργήσουν Μέσα σε"
"Monthly","Μηνιαία"
"No callbacks found","Δεν βρέθηκαν επανακλήσεις "
"Schedule Ahead for","Πρόγραμμα μπροστά για"
"Success History Lifetime","Επιτυχία στο Χρόνο Ζωής του Ιστορικού"
"Too late for the schedule.","Πολύ αργά για πρόγραμμα."
"Unable to save the cron expression.","Αδύνατο να αποθηκευτεί η παράσταση cron.  "
"Weekly","Εβδομαδιαία"