"Alert Email Sender","Αποστολέας Email Ειδοποίησης"
"Alert subscription has been saved.","Η περιγραφή της Ειδοποίησης έχει αποθηκευτεί."
"Allow Alert When Product Comes Back in Stock","Να Ειδοποιήστε όταν το Προϊόν γίνε πάλι Διαθέσιμο "
"Allow Alert When Product Price Changes","Να ειδοποιήστε όταν αλλάζει η τιμή του προϊόντος"
"Click here not to receive alerts for this product","Κάντε κλικ εδώ αν δεν θέλετε να λαμβάνετε ειδοποιήσεις για αυτό το προϊόν"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Πρότυπο(Template) Email Σφάλματος"
"Frequency","Συχνότητα"
"Not enough parameters.","Όχι αρκετοί παράμετροι."
"Price Alert Email Template","Πρότυπο ηλεκτρονικό μήνυμα-Email ειδοποίησης τιμής"
"Price:","Τιμή:"
"Product Alerts","Ειδοποιήσεις Προϊόντων"
"Product Alerts Run Settings","Ρυθμίσεις Εκτέλεσης Ειδοποιήσεων Προϊόντων"
"Product alerts Cron error","Σφάλμα Cron Ειδοποιήσεων Προϊόντων"
"Product price alert","Ειδοποιήση τιμής προϊόντος"
"Product stock alert","Ειδοποιήση διαθεσιμότητας προϊόντος"
"Regular Price:","Κανονική Τιμή:"
"Sign up for price alert","Εγγραφείτε για ειδοποιήσεις τιμών"
"Sign up to get notified when this product is back in stock","Εγγραφείτε για να ειδοποιηθείτε όταν το προϊόν είναι ξανα διαθέσιμο"
"Special price:","Ειδική τιμή:"
"Start Time","Ώρα Έναρξης"
"Stock Alert Email Template","Πρότυπο ηλεκτρονικό μήνυμα-Email ειδοποίησης αποθέματος"
"The alert subscription has been deleted.","Η εγγραφή σας στις ειδοποιήσεις έχει διαγραφεί."
"The alert subscription has been saved.","Η εγγραφή σας στις ειδοποιήσεις έχει αποθηκευτεί."
"The product is not found.","Δεν είναι δυνατόν να βρεθεί το προϊόν."
"The product was not found.","Το προϊόν δεν βρέθηκε."
"Unable to update the alert subscription.","Αδύνατον να ανανεωθεί η εγγραφή σας στις ειδοποιήσεις."
"Unsubscribe from all price alerts","Διαγραφείτε από όλες τις ειδοποιήσεις τιμών"
"Unsubscribe from all stock alerts","Διαγραφείτε από όλες τις ειδοποιήσεις διαθεσιμότητας"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Λαμβάνετε αυτή την ειδοποιήση γιατί εγγραφτήκατε ώστε να ειδοποιήστε όταν τα παρακάτω προϊόντα γίνουν πάλι διαθέσιμα:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Λαμβάνετε αυτή την ειδοποιήση γιατί εγγραφτήκατε ώστε να ειδοποιήστε όταν αλλάζει η τιμή των παρακάτω προϊόντων:"
"You will no longer receive price alerts for this product.","Δεν θα λαμβάνετε πλέον ειδοποιήσεις τιμών γι'αυτό το προϊόν."
"You will no longer receive stock alerts for this product.","Δεν θα λαμβάνετε πλέον ειδοποιήσεις διαθεσιμότητας γι'αυτό το προϊόν."
"You will no longer receive stock alerts.","Δεν θα λαμβάνετε πλέον ειδοποιήσεις διαθεσιμότητας."